YEAR GRAD,STUDENT ID,AGE,RACE,GENDER,JOB STATUS,COMPANY NAME,JOB FIELD,STATE,PROGRAM ID,PROGRAM NAME,SALARY,CLASS MODE,COST,PROGRAM TYPE,AGE GROUP,AGE CLEAN
2023,WBPN21430,40,BUGIS,MALE,BEKERJA SEPENUH MASA,GOLDEN BORNEO PALM SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SABAH,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2800.00,ONLINE,4711,BACELOR,40-49,40.0
2023,WBPN21435,38,INDIA,MALE,BEKERJA SEPENUH MASA,KHK PLANTATION,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PERAK,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,4500.00,ONLINE,4230,BACELOR,30-39,38.0
2023,WBPN21437,48,CINA,FEMALE,BEKERJA SEPENUH MASA,DYNACIATE ENGINEERING SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PAHANG,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,14500.00,ONLINE,4606,BACELOR,40-49,48.0
2023,WBPN21439,41,BAJAU - SABAH,MALE,BEKERJA SEPENUH MASA,SAWIT KINABALU SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SABAH,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2500.00,ONLINE,5981,BACELOR,40-49,41.0
2023,WBPN21454,27,CINA,FEMALE,BEKERJA SEPENUH MASA,LOGAM FIMA JAYA SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",NEGERI SEMBILAN,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3000.00,ONLINE,5099,BACELOR,<29,27.0
2023,WBPN21460,26,INDIA,MALE,BEKERJA SEPENUH MASA,JENTAYU ANGGUN SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",JOHOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3500.00,ONLINE,4964,BACELOR,<29,26.0
2023,WBPN21471,30,BIDAYUH/LAND DAYAK - SARAWAK,MALE,BEKERJA SEPENUH MASA,MAJLIS PERBANDARAN PADAWAN,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SARAWAK,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2836.00,ONLINE,5772,BACELOR,30-39,30.0
2023,WBPN22110,48,MELAYU,MALE,BEKERJA SEPENUH MASA,HATTEN HOTEL MELAKA SDN BHD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",SELANGOR,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,12000.00,ONLINE,4957,BACELOR,40-49,48.0
2023,WBPN221109,39,INDONESIA,FEMALE,BEKERJA SEPENUH MASA,KOPERASI LKPP PAHANG BERHAD,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PAHANG,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,2500.00,ONLINE,5191,BACELOR,30-39,39.0
2023,WBPN221110,39,MELAYU,FEMALE,BEKERJA SEPENUH MASA,BOSTON SCIENTIFIC MEDICAL DEVICE MALAYSIA,"PROFESSIONAL, SCIENTIFIC, AND TECHNICAL ACTIVITIES",PERLIS,362,BACELOR EKSEKUTIF PENGURUSAN PERNIAGAAN,3000.00,ONLINE,4982,BACELOR,30-39,39.0
